Date,Close,High,Low,Open,Volume
2020-01-21,76.72727966308594,77.32108332706851,76.58912661521823,76.87754828501977,110843200
2020-01-22,77.00113677978516,77.5561600864613,76.90660870255334,77.21441667860984,101832400
2020-01-23,77.37198638916016,77.45196545033632,76.50429530744599,77.05448142476102,104472000
2020-01-24,77.14898681640625,78.36568459280262,76.95751196709428,77.61918638262722,146537600
2020-01-27,74.88040161132812,75.56388109821151,73.89395147066809,75.14942943338237,161940000
2020-01-28,76.99874114990234,77.17082225994069,75.66570242325065,75.76507528864353,162234000
2020-01-29,78.61048889160156,79.46121216596032,77.89307390107956,78.63715350699475,216229200
2020-01-30,78.49659729003906,78.54991913980967,77.255660491632,77.68950611492174,126743200
2020-01-31,75.01615142822266,78.20816913725739,74.72045890317577,77.78402044785376,199588400
2020-02-03,74.81009674072266,75.98074327231258,73.24922976756116,73.75335726981098,173788400
2020-02-04,77.27986907958984,77.47134392906342,76.01469422241806,76.42187506467558,136616400
2020-02-05,77.91004943847656,78.71229570893303,77.30412280540882,78.411751069267,118826800
2020-02-06,78.82134246826172,78.82376854121485,77.62161241012203,78.18148791656665,105425600
2020-02-07,77.74995422363281,78.568680490216,77.25677448183865,78.31844658012572,117684000
2020-02-10,78.1192398071289,78.1192398071289,76.2485610979256,76.328729971042,109348800
2020-02-11,77.64791870117188,78.69015846210117,77.42926892141327,78.6172776735546,94323200
2020-02-12,79.49190521240234,79.49676146154908,78.0998224703546,78.0998224703546,113730400
2020-02-13,78.92581939697266,79.25379778682812,78.55654436332367,78.76061799356015,94747600
2020-02-14,78.94527435302734,79.19550833721033,78.43508647256206,78.8942503750964,80113600
2020-02-18,77.49974060058594,77.68195002206068,76.43320456144275,76.61541398291747,152531200
2020-02-19,78.62214660644531,78.85294816427883,77.74268368353454,77.74268368353454,93984000
2020-02-20,77.81554412841797,78.87235994111728,77.3077882481259,78.38161204782077,100566000
2020-02-21,76.05418395996094,77.8519889113782,75.43467510110624,77.40739392071207,129554000
2020-02-24,72.44159698486328,73.89927218972448,70.26723591941703,72.21809093869149,222195200
2020-02-25,69.98783111572266,73.49840130839426,69.51409119791701,73.11455016100783,230673600
